political_party,avg_annual_amount,prop_amount_election,avg_annual_count,prop_count_election
Conservative Party of Canada,32662835.02599993,0.09958744706057307,171724.8,0.06594038834227789
Liberal Party of Canada,17854750.42800248,0.15833454538608963,155120.9,0.08822408843682573
New Democratic Party,6876571.43699989,0.25513781425433985,83625.2,0.1257910294982852
Green Party of Canada,2505789.6620000415,0.16507489845330578,30448.3,0.08353832562080642
