political_entity,total_cycle_amount,total_cycle_count,prop_sum_ood,prop_num_ood
Registered parties,46983815.020023294,306903,0,0
Registered associations,21177220.830001123,53880,0.4677858402442321,0.35475129918337045
Candidates,18560201.81,31120,0.42327635175643613,0.390745501285347
Leadership contestants,115365.34,243,0,0
Nomination contestants,89452.34999999998,123,0.7606637500300442,0.6747967479674797
