Statistic,Direction,Value
Mean Proportion of OODs from Out-of-Province,Sent,12.7%
Mean Proportion of OODs from Out-of-Province,Received,10.4%
Mean Proportion of OODs from Non-Adjascent Districts,Sent,53.0%
Mean Proportion of OODs from Non-Adjascent Districts,Received,53.0%
